類別：所有類別

週,護理之家: (台灣),看護: (台灣),喘息服務: (台灣),輔具: (台灣)
2024-03-10,41,29,2,18
2024-03-17,39,26,3,19
2024-03-24,40,27,3,19
2024-03-31,36,25,2,16
2024-04-07,41,26,2,19
2024-04-14,40,26,2,19
2024-04-21,37,28,3,22
2024-04-28,41,29,3,20
2024-05-05,45,26,3,21
2024-05-12,46,27,2,27
2024-05-19,37,25,2,23
2024-05-26,40,26,3,19
2024-06-02,45,26,2,17
2024-06-09,38,28,2,17
2024-06-16,42,27,2,21
2024-06-23,41,27,2,19
2024-06-30,42,28,2,18
2024-07-07,40,26,4,18
2024-07-14,49,26,4,19
2024-07-21,34,25,2,13
2024-07-28,40,25,1,17
2024-08-04,38,27,1,18
2024-08-11,42,27,3,19
2024-08-18,38,27,2,21
2024-08-25,39,28,2,18
2024-09-01,45,29,2,18
2024-09-08,40,26,2,18
2024-09-15,40,29,3,16
2024-09-22,37,28,3,18
2024-09-29,32,25,1,13
2024-10-06,38,26,2,18
2024-10-13,38,28,3,19
2024-10-20,38,25,2,17
2024-10-27,34,25,3,16
2024-11-03,39,28,3,19
2024-11-10,35,28,3,17
2024-11-17,35,26,2,18
2024-11-24,37,26,2,20
2024-12-01,39,26,2,20
2024-12-08,38,29,3,19
2024-12-15,39,28,1,17
2024-12-22,40,29,2,18
2024-12-29,38,32,1,18
2025-01-05,37,32,2,19
2025-01-12,38,28,2,18
2025-01-19,38,30,2,19
2025-01-26,29,26,0,9
2025-02-02,34,32,3,18
2025-02-09,38,32,2,19
2025-02-16,39,30,2,20
2025-02-23,38,29,2,19
2025-03-02,39,32,3,20
2025-03-09,37,30,2,20
2025-03-16,37,31,3,21
2025-03-23,38,31,2,20
2025-03-30,32,27,2,18
2025-04-06,33,28,3,26
2025-04-13,39,30,3,20
2025-04-20,35,28,3,21
2025-04-27,34,29,2,18
2025-05-04,35,28,2,20
2025-05-11,33,29,2,21
2025-05-18,36,28,3,21
2025-05-25,30,29,3,16
2025-06-01,36,32,2,19
2025-06-08,34,30,2,21
2025-06-15,36,30,3,19
2025-06-22,36,31,2,20
2025-06-29,36,31,3,19
2025-07-06,38,29,3,17
2025-07-13,38,31,3,20
2025-07-20,37,29,3,19
2025-07-27,37,34,2,17
2025-08-03,36,31,3,20
2025-08-10,42,30,3,17
2025-08-17,37,27,2,18
2025-08-24,36,30,2,22
2025-08-31,39,31,3,21
2025-09-07,38,29,3,22
2025-09-14,35,30,2,19
2025-09-21,37,29,2,20
2025-09-28,33,26,3,22
2025-10-05,35,27,3,18
2025-10-12,41,30,3,22
2025-10-19,37,27,2,17
2025-10-26,34,30,3,19
2025-11-02,35,33,3,19
2025-11-09,32,33,3,17
2025-11-16,35,34,3,21
2025-11-23,40,33,2,20
2025-11-30,35,34,4,19
2025-12-07,33,33,3,20
2025-12-14,35,29,3,21
2025-12-21,33,31,2,19
2025-12-28,31,32,2,15
2026-01-04,33,34,2,20
2026-01-11,36,36,2,20
2026-01-18,34,34,1,20
2026-01-25,35,32,3,21
2026-02-01,32,51,2,20
2026-02-08,35,35,3,18
2026-02-15,24,29,2,10
2026-02-22,37,36,3,21
2026-03-01,41,34,3,20
2026-03-08,36,34,3,22
